WID,MALE,AGE,AGESQ,TENURE,HOURS,EDUC,PEXP,PEXPSQ,LMEARNCP,LMEARNPP,EDUCSQ,TENSQ,MGMT,SUPER,ADMIN,SALES,TECH,WAVE2,WAVE3,COUNTRY,FIRM,WAVE,FIRMWAVE,CAPCITY,WOOD1,TEXTILE1,METAL1,ANYFOR,ANYSTAT,EMP,LEMP,LVADPPP,LCAPPPP,LVADEMPPPP,LCAPEMPPPP,Tr
22,1,16,256,0.5,40,15,-5,25,8.47473398364445,3.64934986064932,225,0.25,0,0,0,0,0,0,0,"Ghana",124,1,"124-1",1,1,0,0,0,0,10,2.30258509299405,10.7754678274503,10.4685504366818,8.47288273445625,8.16596534368775,0
3,0,23,529,0.5,40,11,6,36,9.39445657096441,4.56907244796928,121,0.25,0,0,0,0,0,0,0,"Ghana",175,1,"175-1",1,0,0,0,1,0,18,2.89037175789616,9.77785454085518,11.8102539144738,6.88748278295902,8.91988215657764,0
2,0,25,625,0.5,48,11,8,64,9.41090608607243,4.5855219630773,121,0.25,0,0,0,0,0,0,0,"Ghana",161,1,"161-1",1,0,0,1,0,0,11,2.39789527279837,10.8909007746342,13.1965482755937,8.49300550183583,10.7986530027953,0
1,0,32,1024,0.5,40,15,11,121,11.0281871759676,6.20280305297243,225,0.25,0,0,1,0,0,0,0,"Ghana",159,1,"159-1",1,0,0,0,0,0,76,4.33073334028633,14.5905748609921,14.5828426367136,10.2598415207058,10.2521092964273,0
21,1,21,441,0.583333333333333,40,10,5,25,7.60167198632111,2.77628786332598,100,0.340277777777778,0,0,0,0,0,0,0,"Ghana",186,1,"186-1",1,1,0,0,0,0,15,2.70805020110221,11.2857085882684,7.12820268414977,8.57765838716619,4.42015248304756,0
23,1,18,324,0.583333333333333,40,10,2,4,8.29481916688106,3.46943504388593,100,0.340277777777778,0,0,0,0,0,0,0,"Ghana",58,1,"58-1",0,0,0,0,0,0,14,2.63905732961526,9.11331598663334,7.482715465084,6.47425865701808,4.84365813546874,0
3,1,30,900,0.583333333333333,40,16,8,64,9.8019687626943,4.97658463969917,256,0.340277777777778,0,0,1,0,0,0,0,"Ghana",101,1,"101-1",0,0,0,0,0,0,25,3.2188758248682,12.1730117832693,12.3794805131143,8.9541359584011,9.1606046882461,0
4,1,33,1089,0.583333333333333,40,10,17,289,9.78165475722282,4.9562706342277,100,0.340277777777778,0,0,0,0,0,0,0,"Ghana",127,1,"127-1",1,0,0,1,0,0,41,3.71357206670431,13.4325854116309,12.4200194860947,9.71901334492659,8.70644741939039,0
22,1,18,324,0.583333333333333,40,14,-2,4,8.4155039712374,3.59011984824227,196,0.340277777777778,0,0,0,0,0,0,0,"Ghana",194,1,"194-1",1,1,0,0,0,0,22,3.09104245335832,10.5184534355547,12.5034010950338,7.42741098219638,9.41235864167548,0
2,1,24,576,0.583333333333333,40,6,12,144,9.11001378188384,4.28462965888872,36,0.340277777777778,0,0,0,0,0,0,0,"Ghana",4,1,"4-1",1,1,0,0,0,0,29,3.36729582998647,10.6997396580402,12.5034010950338,7.33244382805373,9.13610526504733,0
