WID,MALE,AGE,AGESQ,TENURE,HOURS,EDUC,PEXP,PEXPSQ,LMEARNCP,LMEARNPP,EDUCSQ,TENSQ,MGMT,SUPER,ADMIN,SALES,TECH,WAVE2,WAVE3,COUNTRY,FIRM,WAVE,FIRMWAVE,CAPCITY,WOOD1,TEXTILE1,METAL1,ANYFOR,ANYSTAT,EMP,LEMP,LVADPPP,LCAPPPP,LVADEMPPPP,LCAPEMPPPP,Tr
2,1,42,1764,1.16666666666667,45,3,33,1089,6.33471973602603,3.23887811495281,9,1.36111111111111,0,0,0,0,0,0,0,"Zambia",282,1,"282-1",0,0,1,0,0,0,4,1.38629436111989,6.8505876059258,9.9468126772745,5.46429324480591,8.56051831615461,0
4,1,50,2500,0.166666666666667,45,0,44,1936,6.38577490682631,3.2899332857531,0,0.0277777777777778,0,0,0,0,0,0,0,"Zambia",144,1,"144-1",0,1,0,0,0,0,25,3.2188758248682,11.0573924209209,12.9425449508285,7.8385165960527,9.7236691259603,0
4,0,17,289,1.16666666666667,45,7,4,16,6.40371260751298,3.30787098643976,49,1.36111111111111,0,0,0,0,0,0,0,"Zambia",816,1,"816-1",0,0,1,0,0,0,10,2.30258509299405,9.58798083626192,11.2922850438741,7.28539574326787,8.98969995088005,0
6,1,19,361,0.583333333333333,45,9,4,16,6.40371260751298,3.30787098643976,81,0.340277777777778,0,0,0,0,0,0,0,"Zambia",109,1,"109-1",0,1,0,0,0,0,9,2.19722457733622,8.44660249802775,11.3331070383944,6.24937792069153,9.13588246105818,0
5,1,20,400,0.583333333333333,45,9,5,25,6.40371260751298,3.30787098643976,81,0.340277777777778,0,0,0,0,0,0,0,"Zambia",109,1,"109-1",0,1,0,0,0,0,9,2.19722457733622,8.44660249802775,11.3331070383944,6.24937792069153,9.13588246105818,0
3,1,19,361,1.75,60,7,6,36,6.40371260751298,3.30787098643976,49,3.0625,0,0,0,0,0,0,0,"Zambia",541,1,"541-1",1,0,0,0,0,0,15,2.70805020110221,9.37624958134506,10.6399598578344,6.66819938024285,7.93190965673219,0
3,1,25,625,1.16666666666667,45,7,12,144,6.40371260751298,3.30787098643976,49,1.36111111111111,0,0,0,0,0,0,0,"Zambia",109,1,"109-1",0,1,0,0,0,0,9,2.19722457733622,8.44660249802775,11.3331070383944,6.24937792069153,9.13588246105818,0
1,1,25,625,0.583333333333333,63,9,10,100,6.46825112865055,3.37240950757733,81,0.340277777777778,0,0,0,0,0,0,0,"Zambia",379,1,"379-1",1,0,0,1,0,1,9,2.19722457733622,11.0866782519231,12.4317193270625,8.88945367458688,10.2344947497263,0
5,1,26,676,9,54,8,12,144,6.46825112865055,3.37240950757733,64,81,0,0,0,0,0,0,0,"Zambia",257,1,"257-1",1,0,0,0,0,0,70,4.24849524204936,10.6971828060315,13.6356921313884,6.44868756398214,9.38719688933904,0
6,1,25,625,4,48,4,15,225,6.46825112865055,3.37240950757733,16,16,0,0,0,0,0,0,0,"Zambia",472,1,"472-1",1,1,0,0,0,0,14,2.63905732961526,7.72083439929854,11.7385721465026,5.08177706968328,9.09951481688734,0
