lprn,lsf,unitsftc,bathstot,roomsn,sfan,sfdn,cencityn,urbsubn,urbann,riuraln,agelt5,age510,age1015,agegte30,inadeq,degreen,s87,s88,s89,s90,s91,s92,s93,verylg,large,siz1to3,small,prvlocn,firbuy,incbuy,incsell,qbusb,qbusn,agen,ageb,blkbuy,blksell,marbuy,marsell,sfbuy,sfsell,edubuy,edusell,kidbuy,kidsell,cenind,saltotbt,saltotnt
9.472781,6.915723,0,1.5,5,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,19000,0,0,0,53,88,0,0,1,1,0,0,0,0,0,0,0,0,0
9.472781,7.313221,0,2,4,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,65,63,0,0,0,0,0,0,0,0,1,0,0,0,0
9.472781,6.887553,0,2,5,0,0,0,1,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,15600,19000,1,0,28,22,1,1,0,0,0,0,0,0,1,0,0,0,0
9.510519,6.887553,0,2,5,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,25900,30000,0,0,24,44,0,0,1,1,0,0,0,0,1,0,0,0,0
9.510519,8.101678,0,1.5,10,0,1,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,60000,100001,0,0,42,55,0,0,1,1,0,0,0,1,1,0,0,1,0
9.546884,7.696213,0,2.5,8,0,1,0,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,100000,100001,1,0,31,43,0,0,1,1,0,0,0,0,1,0,0,1,1
9.615872,7.021084,0,2,6,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,24000,45000,0,0,32,33,0,0,0,1,0,0,0,0,0,0,0,0,0
9.615872,6.579251,0,2,6,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,1,20000,8000,0,0,28,43,0,0,1,1,0,0,0,0,1,1,0,0,0
9.615872,6.877296,0,1,4,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,15668,24000,0,0,38,32,0,0,1,1,0,0,0,0,1,1,0,0,0
9.615872,7.313221,0,1,5,0,1,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,9250,3000,0,0,34,43,0,0,0,1,0,0,0,0,1,1,0,0,0
