seqno,grade,sex,race,bilingual,bil,lunch,income,sn,sped,absent1,absent2,present1,present2,v15,v16,v17,passfail,sat_00_m,v19,v20,v21,sat_00_r,v23,v24,sat1m,sat_01_m,v27,v28,sat1r,sat_01_r,spr00plm,mcas00m,spr00ple,mcas00e,spr01plm,mcas01m,spr01ple,mcas01e,fa01plm,mcasfama,fa01ple,mcasfael,sch
15410,6,M,Black, ,No,AF,1, ,0, , , , ,5,13,1,0,605,5,13,1,609,5,19,1,614,5,26,2,628, , , , , , , , , , , , ,2120
15411,6,F,Asian, ,No,AF,1, ,0, , , , , , , , , , , , , ,5,24,1,622,5,4,1,587,F,212,F,218, , , , , , , , ,2950
15412,11,M,Hispanic, ,No,O,3, ,0, , , , ,9,88,3,1,733,9,44,2,695, , , , , , , , , , , , ,P,258,NI,224, , , , ,1030
15413,6,M,Hispanic, ,No,AF,1, ,0, , , , , , , , , , , , , ,5,38,2,636,5,56,2,660,NI,222,NI,226, , , , , , , , ,2040
15414,6,M,Black, ,No,AR,2, ,0, , , , , , , , , , , , , ,5,8,1,595,5,18,1,616,NI,224,F,218, , , , , , , , ,2060
15415,8,F,Black, ,No,AF,1, ,0, , , , ,7,21,1,0,642,7,17,1,641,8,18,1,646,8,26,2,665, , , , ,W,214,NI,220, , , , ,2060
15416,7,F,Black, ,No,AF,1, ,0, , , , ,5,63,2,1,658,5,69,3,673,6,12,1,612,6,13,1,619, , , , ,W,206, , , , , , ,2060
15417,7,F,Black, ,No,AF,1,R3,3, , , , ,5,16,1,0,610,5,30,2,634,6,16,1,618,6,22,2,633, , , , ,W,210, , , , , , ,2100
15418,6,M,Black, ,No,AF,1, ,0, , , , , , , , , , , , , ,5,68,2,663,5,69,3,673,NI,224,NI,230, , , , , , , , ,2100
15419,6,M,Hispanic,S,Yes,DC,1, ,0, , , , , , , , , , , , , ,5,91,3,695,5,78,3,685,A,264,NI,236, , , , , , , , ,2100
15420,8,F,White, ,No,AR,2,A4,4, , , , ,6,14,1,0,616,6,2,1,588,7,7,1,619,7,8,1,622, , , , , , ,W,212, , , , ,2030
15421,7,F,Hispanic,S,Yes,AF,1, ,0, , , , , , , , , , , , , ,6,10,1,609,6,22,2,633, , , , ,W,212, , , , , , ,2100
15422,11,F,Black, ,No,O,3, ,0, , , , ,9,78,2,1,717,9,54,2,705, , , , , , , , , , , , ,P,252,P,240, , , , ,1030
15423,11,M,Black, ,No,O,3, ,0, , , , ,9,43,1,0,681,9,35,2,686, , , , , , , , , , , , ,NI,220,NI,234, , , , ,1030
15424,6,F,Black, ,No,AF,1, ,0, , , , , , , , , , , , , ,5,40,2,638,5,41,2,645,NI,234,NI,234, , , , , , , , ,2950
15425,6,F,Black, ,No,AF,1, ,0, , , , , , , , , , , , , ,5,18,1,612,5,26,2,628,F,212,NI,228, , , , , , , , ,2040
15426,11,M,Black, ,No,O,3, ,0, , , , ,9,28,1,0,667,9,33,2,684, , , , , , , , , , , , , , , , , , , , ,1120
15427,6,M,White, ,No,O,3, ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2950
15428,6,F,Black, ,No,TA,1,F4,4, , , , , , , , , , , , , ,5,5,1,585,5,1,1,566,F,200,F,206, , , , , , , , ,2110
15429,6,F,Black, ,No,IH,2, ,0, , , , , , , , , , , , , ,5,40,2,638,5,34,2,638,F,214,NI,228, , , , , , , , ,2950
15430,6,M,Black, ,No,IH,2, ,0, , , , , , , , , , , , , ,5,6,1,588,5,29,2,632,F,200,F,212, , , , , , , , ,2060
15431,6,M,Black, ,No,AF,1, ,0, , , , , , , , , , , , , ,5,98,4,723,5,30,2,634,NI,228,NI,224, , , , , , , , ,2180
15432,7,F,Hispanic, ,No,AF,1, ,0, , , , ,5,8,1,0,597,5,32,2,636, , , , , , , , , , , , , , , , , , , , ,2050
15433,6,M,Hispanic, ,No,AF,1, ,0, , , , , , , , , , , , , ,5,73,3,668,5,78,3,685, , , , , , , , , , , , ,2180
15434,6,M,Black, ,No,AF,1, ,0, , , , , , , , , , , , , ,5,89,3,691,5,76,3,681,NI,224,NI,226, , , , , , , , ,2030
15435,11,M,White, ,No,O,3, ,0, , , , ,9,99,4,1,807,9,86,3,743, , , , , , , , , , , , ,A,274,A,272, , , , ,1020
15436,6,F,Hispanic,S,Yes,AF,1, ,0, , , , , , , , , , , , , ,5,71,2,666,5,56,2,660,NI,228,NI,224, , , , , , , , ,2100
15437,8,M,Hispanic, ,No,AF,1,A4,4, , , , ,6,13,1,0,614,6,1,1,574,7,3,1,604,7,5,1,613, , , , , , ,W,208, , , , ,2190
15438,6,M,Hispanic,S,Yes,AF,1,R2,2, , , , , , , , , , , , , ,5,12,1,603,5,19,1,618,F,210,F,214, , , , , , , , ,2190
15439,8,M,Black, ,No,AF,1, ,0, , , , ,6,38,1,0,645,6,28,2,641,7,34,1,656,7,28,2,657, , , , , , ,NI,236, , , , ,2950
15440,11,F,Hispanic,S,Yes,O,3, ,0, , , , ,9,28,1,0,667,9,20,1,667, , , , , , , , , , , , ,NI,220,NI,238, , , , ,1050
15441,11,M,Hispanic,S,Yes,AF,1, ,0, , , , ,9,83,2,1,725,9,35,2,686,10,65,2,712, , , , , , , , ,NI,220,F,216, , , , ,1040
15442,6,M,Black, ,No,O,3, ,0, , , , , , , , , , , , , , , , , , , , , ,INC, ,INC, , , , , , , , , ,2110
15443,8,M,White,O,Yes,IH,2, ,0, , , , ,6, , , , ,6, , , , , , , , , , , , , , , , , , , , , , , ,2140
15444,8,M,Black, ,No,AF,1,F4,4, , , , ,6, , , , ,6, , , ,7, , , ,7, , , , , , , , , ,ALT, , , , , ,2090
15445,7,M,Hispanic,S,Yes,DC,1,L4,4, , , , ,5,26,1,0,624,5,8,1,599,6,22,1,627,6,9,1,612, , , , ,W,206, , , , , , ,2100
15446,8,F,Hispanic, ,No,AF,1, ,0, , , , ,6,88,3,1,707,6,91,3,711,7,97,3,743,7,97,4,749, , , , , , ,P,258, , , , ,2100
15447,6,M,Hispanic, ,No,AF,1, ,0, , , , , , , , , , , , , ,5,58,2,653,5,66,3,670,NI,224,NI,220, , , , , , , , ,2100
15448,6,M,Hispanic, ,No,AF,1, ,0, , , , , , , , , , , , , ,5,61,2,656,5,16,1,614, , , , , , , , , , , , ,2190
