seqno,grade,sex,race,bilingual,bil,lunch,income,sn,sped,absent1,absent2,present1,present2,v15,v16,v17,passfail,sat_00_m,v19,v20,v21,sat_00_r,v23,v24,sat1m,sat_01_m,v27,v28,sat1r,sat_01_r,spr00plm,mcas00m,spr00ple,mcas00e,spr01plm,mcas01m,spr01ple,mcas01e,fa01plm,mcasfama,fa01ple,mcasfael,sch
1446,9,M,Black,F,Yes,AF,1, ,0,0,0,19,45, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1100
1447,9,M,Hispanic, ,No,AF,1, ,0,3,4,11, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1100
1448,9,M,Black, ,No,O,3, ,0,7,7,2,38, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1100
1449,9,F,Black,F,Yes,O,3, ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1100
1450,9,M,White, ,No,O,3,F4,4,1,1,44,44,8, , , , ,8, , , , , , , , , , , ,ALT, ,ALT, , , , , , , , , ,1100
1451,9,F,Hispanic, ,No,AR,2,U4,4,0, ,44,45, , , , , , , , , ,9,7,1,634,9,5,1,635, , , , ,F,214,F,212, , , , ,1100
1452,9,M,Black, ,No,AF,1, ,0,9,13,34,32,9,18,1,0,656,9,17,1,663, , , , , , , , , , , , ,F,202,F,214,F,214,F,218,1100
1453,9,M,Black, ,No,AF,1,L4,4,5,2,38,43,9,21,1,0,660,9,3,1,628, , , , , , , , , , , , , , , , , , , , ,1100
1454,9,M,Hispanic, ,No,O,3,R3,3,8,11,37,34,9,25,1,0,664,9,20,1,667,9,25,1,664,9,65,3,716, , , , ,F,214,F,214,F,210,NI,224,1100
1455,9,M,Black, ,No,O,3, ,0,10,24,17,21,8,20,1,0,648,8,36,2,677, , , , , , , , ,F,200,F,214, , , , , , , , ,1100
1456,9,F,Black, ,No,AF,1,R2,2,6,13,37,32,9, , , , ,9, , , , , , , ,9,21,1,669, , , , ,F,210,F,214,F,208,F,206,1100
1457,9,M,Black, ,No,AF,1,L4,4,4,1,40,44,8,1,1,0,591,8,27,2,667,9,7,1,634,9,17,1,663,F,200,NI,226, , , , , , , , ,1100
1458,9,M,Black, ,No,AR,2,F4,4,3, ,45,42,7, , , , ,7, , , ,8, , , ,8, , , , , , , ,ALT, ,ALT, , , , , ,1100
1459,9,M,Hispanic, ,No,AF,1,U4,4,9,9,44,36,8,17,1,0,644,8,18,1,653,9,16,1,652,9,10,1,648,F,200,F,200, , , , , , , , ,1100
1460,9,M,Hispanic, ,No,O,3,U4,4,33,1,9,44,8,15,1,0,641,8,5,1,624,9,11,1,644, , , , ,F,200,F,200, , , , , , , , ,1100
1461,9,M,Black, ,No,O,3,A4,4,4,5, ,40,9,11,1,0,644,9,2,1,621,9,7,1,634,9,1,1,613, , , , , , , , ,F,214,F,212,1100
1462,9,M,Black, ,No,O,3, ,0,3,3, ,42,7,21,1,0,642,7,12,1,632,8,34,1,665,8,12,1,643, , , , ,W,218,W,216, , , , ,1100
1463,9,F,Hispanic, ,No,AF,1, ,0,18,16,27,29,8,12,1,0,637, , , , ,9,11,1,644,9,3,1,628,F,200,F,204, , , , , , , , ,1100
1464,9,M,Black, ,No,AF,1,F4,4,0, ,45,45,7, , , , ,7, , , ,8, , , ,8, , , , , , , ,ALT, ,ALT, , , , , ,1100
1465,9,M,Black, ,No,O,3, ,0,13, ,21, ,8, , , , ,8, , , , , , , , , , , ,INC, ,F,200, , , , , , , , ,1100
1466,9,M,Hispanic, ,No,O,3, ,0,6, ,45,39, , , , , , , , , ,9,67,2,703,9,33,2,684, , , , , , , , , , , , ,1100
1467,9,F,Black, ,No,O,3,R2,2,15,11,26,34,9,25,1,0,664,9,7,1,642, , , , , , , , , , , , ,F,200,INC, , , , , ,1100
1468,9,F,Hispanic, ,No,IH,2, ,0,6,5,39,40,9,18,1,0,656,9,9,1,646,9,47,1,684,9,13,1,654, , , , ,F,214,F,214,NI,220,F,216,1100
1469,9,M,White, ,No,O,3, ,0,2,2,43,43,8,57,2,1,686,8,27,2,667,9,61,2,697,9,23,2,671,F,200,NI,226, , , , , , , , ,1100
1470,9,F,Black, ,No,O,3, ,0,13,30,26,15,7,50,2,1,670,7,31,2,661,8,36,1,667,8,49,2,690, , , , ,INC, ,INC, , , , , ,1100
1471,9,F,Hispanic,S,Yes,AF,1,U4,4,16,27,13,18,9,13,1,0,648,9,4,1,631, , , , , , , , , , , , , , , , , , , , ,1100
1472,9,F,Black, ,No,AR,2,R3,3,17,16,24,29,9,88,3,1,733,9,5,1,635, , , , ,9,5,1,637, , , , ,F,214,F,208,F,210,F,208,1100
1473,9,F,Hispanic, ,No,AF,1, ,0,8,13,37,32,9,47,1,0,684,9,29,2,680,9,35,1,674,9,42,2,693, , , , ,F,218,F,218,F,216,NI,220,1100
1474,9,M,Hispanic, ,No,O,3, ,0, , , , ,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1100
1475,9,M,Black, ,No,AF,1,R3,3,18,0,27,45,8,23,1,0,653,8,15,1,649,9,7,1,634,9,10,1,648,F,210,F,212, , , , , , , , ,1100
1476,9,F,Hispanic, ,No,O,3,R2,2,7,7,37,38,9,47,1,0,684,9,27,2,677,9,7,1,634,9,16,1,661, , , , ,F,216,F,216,F,212,F,214,1100
1477,9,M,Black, ,No,O,3,F4,4,4, ,0,32, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1100
1478,9,M,Black, ,No,O,3,R3,3,3,11, ,34,9,25,1,0,664,9,23,2,671,9,28,1,667,9,31,2,682, , , , ,F,216,F,214,F,210,F,218,1100
1479,9,M,Black, ,No,O,3,L4,4,26,27,16,18,9,21,1,0,660,9,4,1,631, , , , , , , , , , , , ,F,214,F,204,F,204,F,204,1100
1480,9,M,Black, ,No,O,3, ,0,6,4,39, , , , , , , , , , ,9,85,3,728,9,68,3,719, , , , , , , , , , , , ,1100
1481,9,M,White, ,No,IH,2,F4,4,6,8,37,37,7, , , , ,7, , , ,8, , , ,8, , , , , , , ,ALT, ,ALT, , , , , ,1100
1482,9,M,Black, ,No,O,3,F4,4,12,29,28,16,8,10,1,0,634,8,2,1,612,9,11,1,644,9,1,1,601,F,200,F,206, , , , , , , , ,1100
1483,9,M,Hispanic, ,No,O,3, ,0,1,1,43,44,7,14,1,0,632,7,8,1,622,8,23,1,653,8,18,1,653, , , , ,W,216,W,218, , , , ,1100
1484,9,F,Hispanic, ,No,AF,1,L4,4,1,2,44,43,7,6,1,0,616,7,7,1,620,8,18,1,646,8,23,2,661, , , , ,W,204,NI,220, , , , ,1100
1485,9,M,Black, ,No,O,3,A4,4,22,7,23,38,7,7,1,0,619,7,8,1,624,8,46,2,676,8,20,2,657, , , , ,W,214,NI,220, , , , ,1100
1486,9,M, , ,No,IH,2,U4,4,3, ,45,42,7,2,1,0,593,7,10,1,628,8,12,1,637,8,6,1,628, , , , ,W,206,W,214, , , , ,1100
1487,9,M,Black, ,No,O,3, ,0,19,33,26, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1100
1488,9,M,Black, ,No,AF,1,A4,4,7,5,38,40,7,7,1,0,619,7,9,1,626,8,26,1,657,8,16,1,651, , , , ,W,206,W,216, , , , ,1100
1489,9,F,Hispanic, ,No,AF,1, ,0,7,16,35,29,7,32,1,0,654,7,66,3,697, , , , , , , , , , , , ,W,200,W,200, , , , ,1100
1490,9,M,Black, ,No,AF,1,R1, ,7,10,38,35,8,7,1,0,626,8,24,2,663,9,32,1,671,9,37,2,688,F,200,NI,228, , , , , , , , ,1100
1491,9,F,Black, ,No,DC,1, ,0,8,11,37,34,8,46,2,1,676,8,14,1,647, , , , ,9,11,1,650,F,200,NI,222, , , , , , , , ,1100
1492,9,F,Hispanic, ,No,AF,1,F4,4,0, ,43,45,8,5,1,0,620,8,1,1,604,9,11,1,644,9,4,1,633,F,200,F,200, , , , , , , , ,1100
1493,9,M,Hispanic, ,No,AF,1,U4,4,2,0,42,45,8,30,1,0,661,8,18,1,653,9,51,2,687,9,8,1,644,F,200,F,218, , , , , , , , ,1100
1494,9,M,Black, ,No,AF,1, ,0,13,4,18, ,7,12,1,0,629,7,7,1,620, , , , , , , , , , , , , , , , , , , , ,1100
1495,9,M,White, ,No,O,3, ,0,5,35,17,45, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1100
1496,9,F,Black, ,No,O,3, ,0,5,14,40,31,8,20,1,0,648,8,9,1,637,9,21,1,660, , , , ,F,200,NI,222, , , , , , , , ,1100
1497,9,F,Black, ,No,O,3, ,0,8,6,37,39,7,23,1,0,644,7,28,2,657,8,28,1,659,8,34,2,675, , , , ,W,216,NI,226, , , , ,1100
1498,9,M,Hispanic, ,No,AF,1,F4,4,5,4,37, ,8, , , , ,8, , , , , , , , , , , ,ALT, ,ALT, , , , , , , , , ,1100
1499,9,F,Hispanic, ,No,O,3, ,0,12,28,33,17,8,17,1,0,644,8,27,2,667, , , , , , , , ,F,200,NI,222, , , , , , , , ,1100
1500,9,M,Black, ,No,O,3, ,0,8,7,34,38,9,21,1,0,660,9,44,2,695,9,64,2,700,9,57,2,708, , , , ,F,216,NI,220,F,214, , ,1100
1501,9,F,Black, ,No,AF,1, ,0,6,27,38,18,8,30,1,0,661,8,22,2,659,8,20,1,648,8,22,2,659,F,200,F,200,W,216,W,214, , , , ,1100
1502,9,M,Black, ,No,DC,1,R3,3,10,14,35,31,8,15,1,0,641,8,27,2,667,9,25,1,664,9,31,2,682,F,200,NI,226, , , , , , , , ,1100
1503,9,M,Black, ,No,AF,1, ,0,4,2, ,43,8,28,1,0,659,8,66,3,707,9,25,1,664,9,27,2,677,F,208,P,246, , , , , , , , ,1100
1504,9,M,White, ,No,AF,1,B3,3,13,10,31,35,8, , , , ,8,7,1,630,9,11,1,644,9,4,1,631,F,200,F,200, , , , , , , , ,1100
1505,9,M,Black, ,No,O,3,M4,4,2,0,43,45, , , , , ,7, , , , , , , , , , , , , , , ,ALT, ,ALT, , , , , ,1100
1506,9,F,Black, ,No,O,3, ,0,1,7,44,38,8,38,1,0,669,8,45,2,686,9,28,1,667,9,20,1,667,F,210,NI,228, , , , , , , , ,1100
1507,9,M,Black, ,No,AR,2,F4,4,0, ,45,45, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1100
1508,9,F,Black, ,No,AF,1, ,0,2,4,43, ,8,32,1,0,663,8,49,2,690,9,28,1,667,9,17,1,663,NI,220,NI,236, , , , , , , , ,1100
1509,9,M,Hispanic, ,No,DC,1, ,0,3,3,42,42,8,41,1,0,672,8,13,1,645,9,21,1,660,9,8,1,644,F,204,F,204, , , , , , , , ,1100
1510,9,M,Hispanic, ,No,O,3, ,0,13,0,32,45,8,40,1,0,671,8,59,2,700,9,16,1,652,9,37,2,688,F,200,P,242, , , , , , , , ,1100
1511,9,M,Black, ,No,O,3, ,0,0, ,45,45, , , , , , , , , ,8,77,2,710,8,30,2,671, , , , ,NI,232,NI,232, , , , ,1100
1512,9,M,White, ,No,AF,1,R2,2,4, ,45, ,7,34,1,0,656,7,53,2,684,8,55,2,684,8,61,3,702, , , , ,NI,220,P,242, , , , ,1100
1513,9,M,Hispanic, ,No,AR,2, ,0,8,19,37,26,8,15,1,0,641,8,4,1,619,9,28,1,667,9,2,1,621,F,200,F,212, , , , , , , , ,1100
1514,9,M,Hispanic, ,No,AF,1, ,0,27,40,18, ,8,4,1,0,616,8,45,2,686,9,7,1,634,9,44,2,695,F,200,NI,228, , , , , , , , ,1100
1515,9,M,White, ,No,AF,1, ,0,7,9,38,36,7,73,2,1,694,7,33,2,663,8,48,2,678,8,49,2,690, , , , ,W,200,P,240, , , , ,1100
1516,9,F,Black, ,No,O,3, ,0,4,11, ,34,7, , , , ,7,53,2,684,8,73,2,705,8,38,2,679, , , , ,NI,220,NI,234, , , , ,1100
1517,9,M,Black, ,No,AF,1,A4,4,1,3,43,42,8,7,1,0,626,8,1,1,595,9,7,1,634,9,5,1,637,F,200,F,200, , , , , , , , ,1100
1518,9,M,Black, ,No,IH,2,R2,2,24, ,21, , , , , , , , , , ,8,10,1,634,8,12,1,643, , , , ,W,210,NI,220, , , , ,1100
1519,9,M,Black, ,No,O,3, ,0,30,27,15,18,8,41,1,0,672,8,71,3,713,9,32,1,671,9,20,1,667,F,212,P,246, , , , , , , , ,1100
1520,9,M,Hispanic, ,No,AF,1, ,0,4,2, ,43,8,64,2,1,693,8,66,3,707,9,73,2,710,9,59,2,710,F,202,P,242, , , , , , , , ,1100
1521,9,M,Black, ,No,DC,1,O4,4,4,0, ,45,7, , , , ,7, , , ,8, , , ,8, , , , , , , ,ALT, ,ALT, , , , , ,1100
1522,9,M,Hispanic, ,No,O,3, ,0,4,0, ,45,8,20,1,0,648,8,22,2,659,9,35,1,674,9,27,2,677,F,200,NI,220, , , , , , , , ,1100
1523,9,M,White, ,No,O,3,L4,4,37,45,4, ,8,18,1,0,646,8,27,2,667, , , , , , , , ,F,200,F,200, , , , , , , , ,1100
1524,9,M,Hispanic, ,No,AF,1,U4,4,0, ,43,45,8,4,1,0,613,8,8,1,633,9,28,1,667,9,14,1,657,F,200,F,202, , , , , , , , ,1100
1525,9,M,Hispanic, ,No,AF,1,R2,2,10,21,34,24,8,14,1,0,639,8,40,2,681,9,76,2,714,9,47,2,698,F,202,NI,238, , , , , , , , ,1100
1526,9,F,Black, ,No,O,3, ,0,4,8, ,37,8,21,1,0,650,8,45,2,686,9,64,2,700,9,71,3,722,F,200,NI,224, , , , , , , , ,1100
1527,9,M,Hispanic, ,No,O,3, ,0,3,2,42,43,8,20,1,0,648,8,20,2,657,8,34,1,665,8,34,2,675,F,200,NI,224,W,218,NI,232, , , , ,1100
1528,9,M,Hispanic, ,No,AF,1, ,0,1, ,45,44, , , , , , , , , ,9,71,2,707,9,40,2,691, , , , , , , , , , , , ,1100
1529,9,M,Black, ,No,AF,1, ,0,2,0,43,45,9,43,1,0,681,9,5,1,637,9,25,1,664,9,19,1,665, , , , ,F,204,F,206, , , , ,1100
1530,9,F,Black, ,No,O,3,R3,3,2,10,42,35,8,12,1,0,637,8,13,1,645,9,21,1,660,9,8,1,644,F,200,F,200, , , , , , , , ,1100
1531,9,M,Black, ,No,AF,1,O4,4,0, ,44,45,7, , , , ,7, , , ,8, , , ,8, , , , , , , ,ALT, ,ALT, , , , , ,1100
1532,9,F,Hispanic, ,No,DC,1, ,0,31, ,4, ,8,43,2,1,674,8,29,2,669,9,32,1,671,9,17,1,663,F,202,NI,224, , , , , , , , ,1100
1533,9,F,Black, ,No,AF,1, ,0,13,10,30,35,8,72,2,1,703,8,22,2,659,9,58,2,694,9,33,2,684,NI,230,NI,232, , , , , , , , ,1100
1534,9,M,White, ,No,O,3, ,0,8,2,35,43,8,5,1,0,620,8,3,1,614,9,11,1,644,9,10,1,648,F,200,F,214, , , , , , , , ,1100
1535,9,M,Black, ,No,DC,1,U4,4,3,3,43,42,8,20,1,0,648,8,8,1,635,9,8,1,639,9,2,1,623,F,200,F,206, , , , , , , , ,1100
1536,9,M,Black, ,No,AF,1, ,0,3, ,45,42,7,32,1,0,654,7,10,1,628,8,18,1,646,8,38,2,679, , , , ,W,216,NI,234, , , , ,1100
1537,9,M,Black, ,No,O,3,L4,4,0, ,0, ,8,10,1,0,634,8,14,1,647, , , , , , , , ,F,200,F,208, , , , , , , , ,1100
1538,9,M,Hispanic, ,No,O,3, ,0,2,9,43,36,8,46,2,1,676,8,22,2,659,8,81,3,716,8,38,2,679,F,216,F,214,NI,220,W,218, , , , ,1100
1539,9,M,Hispanic, ,No,O,3,L4,4,0,35,2,45,9,5,1,0,629,9,2,1,621, , , , , , , , , , , , , , , , , , , , ,1100
1540,9,M,Black, ,No,AF,1,F4,4,0, ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1100
1541,9,M,Hispanic, ,No,O,3, ,0,0,15,2,30,9,43,1,0,681, , , , , , , , , , , , , , , , ,F,200,INC, , , , , ,1100
1542,9,F,Black, ,No,AF,1,R2,2,22,23,21,22,8,4,1,0,613,8,9,1,637, , , , , , , , ,F,200,F,200, , , , , , , , ,1100
1543,9,F,Black, ,No,AF,1, ,0,3,3,42,42,8,21,1,0,650,8,6,1,628,9,21,1,660,9,8,1,644,F,200,F,200, , , , , , , , ,1100
1544,9,M,Black, ,No,O,3, ,0,25,21,20,24,8,24,1,0,655,8,26,2,665, , , , , , , , ,F,200,NI,226, , , , , , , , ,1100
1545,9,M,Black, ,No,IH,2, ,0,1,4,44, , , , , , , , , , ,8,59,2,688,8,49,2,690, , , , ,W,216,NI,236, , , , ,1100
1546,9,M,Black, ,No,AF,1,B4,4,5,13,40,32,7,9,1,0,624,7,22,2,649,9,8,1,639, , , , , , , , ,F,218,F,212, , , , ,1100
1547,9,F,White, ,No,O,3, ,0,24,37,21, ,8,62,2,1,691,8,79,3,722, , , , , , , , ,F,218,NI,238, , , , , , , , ,1100
1548,9,M,White, ,No,O,3, ,0,8,3,37,42,8,94,3,1,744,8,27,2,667,9,51,2,687,9,15,1,659, , , , , , , , , , , , ,1100
1549,9,M,Hispanic, ,No,AF,1,R2,2,21,16,21,29,8,36,1,0,667,8,23,2,661,9,61,2,697,9, , , ,F,216,F,212, , , , , , , , ,1100
1550,9,M,Black, ,No,AF,1, ,0,2,2,43,43, , , , , , , , , , , , , ,9,35,2,686, , , , , , , , , , , , ,1100
1551,9,F,Black, ,No,AF,1, ,0,8,2,24,43,7,87,3,1,715,7,91,3,732,8,48,2,678,8,94,4,752, , , , ,NI,236,P,258, , , , ,1100
1552,9,M,Black, ,No,AF,1,U4,4,5,0,40,45,7,18,1,0,638,7,26,2,655,8,6,1,623,8,13,1,645, , , , ,W,210,NI,220, , , , ,1100
1553,9,M,Black, ,No,O,3,U4,4,1, ,45,44,8,14,1,0,639,8,3,1,617,9,11,1,644,9,4,1,633,F,200,F,200, , , , , , , , ,1100
1554,9,M,Black, ,No,O,3,R3,3,0, ,40,45,7,3,1,0,601,7,12,1,632,8,12,1,637,8,8,1,635, , , , ,W,210,W,212, , , , ,1100
1555,9,F,Black, ,No,O,3, ,0,6,4,39, ,7,77,2,1,700,7,55,2,686, , , , ,8,54,2,695, , , , ,NI,222,P,246, , , , ,1100
1556,9,F,White, ,No,AF,1,A4,4,15,36,27, ,8,18,1,0,646,8,12,1,643,9,5,1,629, , , , ,F,200,F,214, , , , , , , , ,1100
1557,9,F,Black, ,No,O,3,L4,4,0, ,43,45,7,42,1,0,664,7,26,2,655,8, , , ,8, , , , , , , , , , , , , , , ,1100
1558,9,F,Black, ,No,O,3,R3,3,29,29,12,16,9,16,1,0,652,9,2,1,623,9,21,1,660, , , , , , , , ,F,200,INC, ,F,204,F,208,1100
1559,9,F,Black, ,No,AF,1,A4,4,6,11,39,34,7,9,1,0,624,7,5,1,613,8,12,1,637,8, , , , , , , ,W,202,W,218, , , , ,1100
1560,9,F,Black, ,No,AF,1, ,0,9,12,35,33,8,59,2,1,688,8,23,2,661,9,35,1,674,9,15,1,659,F,210,NI,234, , , , , , , , ,1100
1561,9,M,Hispanic, ,No,AF,1,A4,4,6,21,39,24,8,15,1,0,641,8,2,1,609,9,11,1,644,9,1,1,595,F,200,F,212, , , , , , , , ,1100
1562,9,M,Hispanic, ,No,O,3, ,0,3,5,11,40,8,41,1,0,672,8,34,2,675,9, , , ,9,19,1,665,F,204,NI,230, , , , , , , , ,1100
1563,9,F,Black, ,No,O,3, ,0,16, ,29, ,7,17,1,0,636,7,39,2,670, , , , , , , , , , , , , , , , , , , , ,1100
1564,9,F,Hispanic, ,No,O,3, ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1100
1565,9,M,Black, ,No,AF,1,R3,3,2,7, ,38,7,1,1,0,579,7,12,1,632,8,23,1,653,8,30,2,671, , , , ,W,214,W,216, , , , ,1100
1566,9,F,Black, ,No,TA,1, ,0,9,13,36,32,8,10,1,0,634,8,18,1,653,9,28,1,667,9,31,2,682,F,200,F,218, , , , , , , , ,1100
1567,9,F,Hispanic, ,No,O,3, ,0,8,8,35,37,7,18,1,0,638,7,31,2,661,8,23,1,653,8,22,2,659, , , , ,W,206,NI,232, , , , ,1100
1568,9,M,Black, ,No,O,3, ,0,1,2,17,43,8, , , , ,8,18,1,653, , , , , , , , ,F,200,F,208, , , , , , , , ,1100
1569,9,M,Black, ,No,O,3, ,0,3,0,42,45, , , , , , , , , ,9,64,2,700,9,49,2,700, , , , , , , , , , , , ,1100
1570,9,M,Black, ,No,O,3, ,0,1,4,44, ,8,30,1,0,661,8,47,2,688,9,21,1,660,9,51,2,702,F,200,P,242, , , , , , , , ,1100
1571,9,F,Black, ,No,AR,2, ,0,3,4,39, ,8,9,1,0,631,8,30,2,671,9,13,1,648,9,12,1,652,F,200,F,218, , , , , , , , ,1100
1572,9,M,Black, ,No,O,3,R3,3,15,11,28,34,8,10,1,0,634,8,20,2,657, , , , , , , , ,F,200,F,212, , , , , , , , ,1100
1573,9,M,Black, ,No,O,3,L4,4,1,21,44,24,8,18,1,0,646,8,8,1,633,9,16,1,652,9,2,1,623,F,200,F,210, , , , , , , , ,1100
1574,9,M,Black, ,No,AR,2, ,0,15,26,30,19,8,6,1,0,623,8, , , ,9,13,1,648,9,10,1,648, , , , , , , , , , , , ,1100
1575,9,M,Black, ,No,AF,1,F4,4,1, ,45,44, , , , , , , , , ,8,23,1,653,8,40,2,681, , , , ,INC, ,INC, , , , , ,1100
1576,9,M,Black, ,No,AF,1,O4,4,3,10,42,35, , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1100
1577,9,M,Hispanic, ,No,IH,2,U4,4,3,8,40,37,7,17,1,0,636,7,5,1,613,8,7,1,626,8,6,1,626, , , , ,W,210,W,202, , , , ,1100
1578,9,M,Black, ,No,O,3, ,0,7,5,38,40,7,50,2,1,670,7,50,2,681,8,40,1,671,8,56,2,697, , , , ,NI,220,NI,232, , , , ,1100
1579,9,M,Black, ,No,O,3, ,0,2,5,43,40,8,23,1,0,653,8,36,2,677,9,25,1,664,9,26,2,675,F,200,NI,234, , , , , , , , ,1100
1580,9,F,Black, ,No,O,3,B4,4,9,1,36,44, , , , , , , , , , , , , , , , , , , , , ,W,212,W,212, , , , ,1100
1581,9,M,Black, ,No,O,3, ,0,6,5,39,40,7,15,1,0,634,7,28,2,657, , , , ,8,29,2,669, , , , ,W,214,NI,232, , , , ,1100
1582,9,M,Black, ,No,O,3, ,0,1,1,44,44,8,14,1,0,639,8,30,2,671,9,32,1,671,9,31,2,682,F,200,F,214, , , , , , , , ,1100
1583,9,M,Black, ,No,O,3,R2,2,2,4, , ,8,20,1,0,648,8,1,1,595, , , , ,9,6,1,640,F,200,F,212, , , , , , , , ,1100
1584,9,M,Black, ,No,AF,1,L4,4,6,5,39,40,7,15,1,0,634,7,16,1,639,8,14,1,639,8,19,1,655, , , , ,W,214,W,218, , , , ,1100
1585,9,F,Hispanic, ,No,AF,1, ,0,1,4,44, , , , , , , , , , , , , , , , , , ,F,208,F,212, , , , , , , , ,1100
1586,9,M,Hispanic, ,No,AF,1,F4,4,4,3, ,42,8, , , , ,8, , , , , , , , , , , ,ALT, ,ALT, , , , , , , , , ,1100
1587,9,F,Hispanic, ,No,AR,2, ,0,2,8,43,37,7,52,2,1,672,7,46,2,677,8,43,2,674,8,38,2,679, , , , ,W,216,P,250, , , , ,1100
1588,9,M,Black, ,No,O,3, ,0,0, ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1100
1589,9,F,Black, ,No,AF,1, ,0,1, ,45,44,7,36,1,0,658,7,50,2,681,8,72,2,703,8,40,2,681, , , , ,W,216,NI,222, , , , ,1100
1590,9,M,Asian, ,No,AF,1, ,0,1, ,45,44,7,63,2,1,683,7,55,2,686,8,77,2,710,8,45,2,686, , , , ,NI,236,P,244, , , , ,1100
1591,9,M,Hispanic, ,No,DC,1, ,0,5,14,40,31,7,63,2,1,683,7,41,2,672,8,67,2,697,8,45,2,686, , , , ,NI,220,P,250, , , , ,1100
1592,9,F,Black, ,No,O,3, ,0,2,3,43,42,7,44,1,0,666,7,50,2,681, , , , ,8,66,3,707, , , , ,W,216,NI,236, , , , ,1100
1593,9,F,Asian, ,No,AF,1, ,0,15,43,6, , , , , , , , , , ,8,21,1,650,8,36,2,677, , , , ,W,216,P,242, , , , ,1100
1594,9,M,Hispanic, ,No,DC,1,L4,4,2,2, ,43,7,8,1,0,622,7,5,1,613,8,8,1,629,8,1,1,604, , , , ,W,202,W,212, , , , ,1100
1595,9,M,Hispanic, ,No,AF,1, ,0,6,4,39, ,7,69,2,1,689,7,18,1,643,8,86,3,724,8,29,2,669, , , , ,W,218,NI,234, , , , ,1100
1596,9,F,Hispanic, ,No,DC,1, ,0,2, ,45,43,7,74,2,1,696,7,63,3,694,8,48,2,678,8,51,2,692, , , , ,NI,226,NI,236, , , , ,1100
1597,9,F,Hispanic, ,No,IH,2, ,0,2, ,45,43,7,18,1,0,638,7,15,1,637,8,28,1,659,8,32,2,673, , , , ,W,214,NI,234, , , , ,1100
1598,9,F,Hispanic, ,No,AF,1, ,0,2,3,43,42,7,73,2,1,694,7,74,3,705,8,61,2,690,8,74,3,716, , , , ,NI,230,NI,238, , , , ,1100
1599,9,M,Hispanic, ,No,O,3,L4,4,3,12,40,33,8,10,1,0,634,8,9,1,637,9,16,1,652,9,3,1,626,F,200,F,200, , , , , , , , ,1100
1600,9,F,Black, ,No,O,3,R2,2,3,5,40,40,7,12,1,0,629,7,19,1,645,8,10,1,634,8,30,2,671, , , , ,W,210,NI,224, , , , ,1100
1601,9,M,Black, ,No,O,3, ,0, , , , ,7,94,3,1,731,7,74,3,705,8,81,3,716,8,61,3,702, , , , ,NI,232,P,242, , , , ,1100
1602,9,M,Black, ,No,AF,1,R3,3,3,2, ,43,7,15,1,0,634,7,15,1,637,8,12,1,637,8,36,2,677, , , , ,W,218,NI,222, , , , ,1100
1603,9,F,Black, ,No,AF,1,O4,4,1,2,44,43,7, , , , ,7, , , ,8, , , ,8, , , , , , , ,ALT, ,ALT, , , , , ,1100
1604,9,F,Black,F,Yes,AF,1,A4,4,1,3,44,42, , , , , , , , , ,8,3,1,605,8,6,1,626, , , , ,W,210,INC, , , , , ,1100
1605,9,F,Hispanic, ,No,AF,1, ,0,4,0, ,45,7,5,1,0,611,7,48,2,679,8,57,2,686,8,71,3,713, , , , ,W,214,NI,234, , , , ,1100
1606,9,M,Black, ,No,O,3, ,0, , , , ,7,44,1,0,666,7,14,1,635, , , , , , , , , , , , , , , , , , , , ,1100
1607,9,F,Black, ,No,AF,1, ,0,17,18,28,27,7,21,1,0,642,7,7,1,620,8,24,1,655,8,5,1,622, , , , ,W,216,W,212, , , , ,1100
1608,9,M,Hispanic, ,No,IH,2, ,0,3,5, ,40,7,32,1,0,654,7, , , ,8,30,1,661,8,20,2,657, , , , ,W,216,NI,220, , , , ,1100
1609,9,M,White, ,No,O,3,L4,4,4,8,39,37,7,5,1,0,611,7,9,1,626,8,12,1,637,8,13,1,645, , , , ,W,210,W,214, , , , ,1100
1610,9,F,White, ,No,AR,2, ,0,3,4,42, ,7,73,2,1,694,7,53,2,684,8,78,3,712,8,66,3,707, , , , ,NI,230,NI,234, , , , ,1100
1611,9,M,White, ,No,IH,2, ,0,1,3,44,42,7,65,2,1,685,7,71,3,702,8,80,3,714,8,82,3,726, , , , ,NI,238,NI,236, , , , ,1100
1612,9,M,White, ,No,O,3,L4,4,16,7,29,38,7,52,2,1,672,7,28,2,657,8,55,2,684,8,32,2,673, , , , ,W,218,NI,232, , , , ,1100
1613,9,F,Black, ,No,AF,1, ,0,7,9,38,36,8,9,1,0,631,8,6,1,626,9,28,1,667,9,1,1,613,F,200,F,210, , , , , , , , ,1100
