ccoder,year,countryname,ccode,polity2r,agree3un,HR,lnmanpower,leaidc,lmaidc,lgdppcc,lpop,lgdpc,lexportc,rg1,rg2,rg3,rg4,rg5,terr,POTUS,USSenate,USHouse,USunempl,USgrowth,USinflation
490,1994,"Congo (Kinshasa)",490,0,0,4,4.14313472639153,12.9134750366211,NA,5.15826034545898,17.522029876709,22.680290222168,17.6899967193604,1,0,0,0,0,0,0,0,0,6.1,4.02879325991903,2.6
490,1995,"Congo (Kinshasa)",490,0,0.472222208976746,4,1.38629436111989,13.4565286636353,NA,5.13378667831421,17.5534782409668,22.6872653961182,18.3915214538574,1,0,0,0,0,0,0,1,1,5.59166666666667,2.68421727207786,2.8
490,1996,"Congo (Kinshasa)",490,0,0.46428570151329,4,2.30258509299405,14.5350828170776,NA,5.09742307662964,17.5795574188232,22.67698097229,18.3108615875244,1,0,0,0,0,0,0,1,1,5.40833333333333,3.77256549921414,2.9
490,1997,"Congo (Kinshasa)",490,0,0.400000005960464,5,2.19722457733622,13.337233543396,NA,5.01769065856934,17.6014804840088,22.6191711425781,17.54221534729,1,0,0,0,0,0,0,1,1,4.94166666666667,4.44717494524525,2.3
490,1998,"Congo (Kinshasa)",490,0,0,5,2.39789527279837,15.4838027954102,NA,4.98149156570435,17.6213054656982,22.6027965545654,17.3913955688477,1,0,0,0,0,0,0,1,1,4.5,4.48139443155316,1.6
490,1999,"Congo (Kinshasa)",490,0,0.214285716414452,5,1.94591014905531,17.2960300445557,NA,4.91741800308228,17.6417388916016,22.5591564178467,17.1554470062256,1,0,0,0,0,0,0,1,1,4.21666666666667,4.79449904467508,2.2
490,2000,"Congo (Kinshasa)",490,0,0.21875,5,1.79175946922806,17.6042499542236,NA,4.82296514511108,17.6645774841309,22.4875431060791,16.4423294067383,1,0,0,0,0,0,0,1,1,3.96666666666667,4.07715947941618,3.4
490,2001,"Congo (Kinshasa)",490,0,0.235294118523598,4,2.19722457733622,18.6105804443359,NA,4.77613353729248,17.690185546875,22.4663181304932,16.935905456543,1,0,0,0,0,0,1,0,1,4.74166666666667,0.954338728708379,2.8
490,2002,"Congo (Kinshasa)",490,0,0.138888895511627,5,0,18.2906856536865,NA,4.78258991241455,17.7178249359131,22.500415802002,17.219181060791,1,0,0,0,0,1,1,0,1,5.78333333333333,1.69594292274957,1.6
490,2003,"Congo (Kinshasa)",490,1,0.288461536169052,5,2.30258509299405,18.6372661590576,NA,4.80992078781128,17.7467937469482,22.556713104248,17.3347473144531,1,0,0,0,0,1,1,1,1,5.99166666666667,2.7962091006717,2.3
490,2004,"Congo (Kinshasa)",490,3,0.28125,5,2.39789527279837,18.6005401611328,12.7034339904785,4.84491968154907,17.7760810852051,22.6210021972656,18.0399532318115,1,0,0,0,0,1,1,1,1,5.54166666666667,3.85255260064351,2.7
490,2005,"Congo (Kinshasa)",490,4,0.212500005960464,5,2.07944154167984,18.6079006195068,12.7068481445313,4.89110279083252,17.8050136566162,22.6961154937744,17.9806232452393,1,0,0,0,0,1,1,1,1,5.08333333333333,3.48322032025258,3.4
490,2006,"Congo (Kinshasa)",490,5,0.125,5,2.19722457733622,18.8122310638428,12.7638177871704,4.91689729690552,17.8335285186768,22.7504272460938,17.9236660003662,1,0,0,0,0,1,1,1,1,4.60833333333333,2.78281062584327,3.2
490,2007,"Congo (Kinshasa)",490,5,0.190476194024086,5,2.39789527279837,18.5938949584961,15.4016036987305,4.94927024841309,17.8618545532227,22.8111248016357,18.3259010314941,1,0,0,0,0,1,1,0,0,4.61666666666667,2.01050755163328,2.9
490,2008,"Congo (Kinshasa)",490,5,0.131578952074051,5,2.19722457733622,19.03125,15.3587894439697,4.9808783531189,17.8899765014648,22.8708553314209,18.3762283325195,1,0,0,0,0,1,1,0,0,5.8,0.122188442974647,3.8
490,2009,"Congo (Kinshasa)",490,5,0.273809522390366,5,2.30258509299405,19.3714485168457,17.2193393707275,4.98087692260742,17.9179267883301,22.8988037109375,17.9555530548096,1,0,0,0,0,1,0,0,0,9.28333333333333,-2.59988835108558,-0.4
490,2010,"Congo (Kinshasa)",490,5,0.362500011920929,5,2.30258509299405,19.3737335205078,16.2565727233887,5.02236604690552,17.9457225799561,22.968090057373,18.025074005127,1,0,0,0,0,1,0,0,0,9.60833333333333,2.70885669419681,1.6
490,2011,"Congo (Kinshasa)",490,5,0.15625,5,2.07944154167984,19.3818016052246,16.4681148529053,5.06130027770996,17.9733238220215,23.0346221923828,18.4893569946289,1,0,0,0,0,1,0,0,1,8.93333333333333,1.54989495017045,3.2
