firmid,year,kod2,kod3,kod4,r,ec,cc,h,h_interp,c1,c2,c3,c4,c5,k1,k2,k3,f1,f2,f3,f4,f5,lagk1,lagk2,lagk3,lagf1,lagf2,lagf3,lagf4,lagf5,lc,va,lc_was_fixed
"94014145",2019,"55","551","5510",0,2069,-2069,0,0,41,1,0,0,0,0,0,339830,-209846,0,0,0,339830,0,0,340248,-207770,0,0,0,340248,0,-2069,"FALSE"
"94014944",2019,"55","551","5510",2638176,2076402,561774,0,0,57,0,0,0,0,10610825,7485,1779289,9122918,1475002,53335,162551,12397599,4417365,0,149381,4347353,0,0,0,4566746,0,561774,"FALSE"
"94015222",2019,"55","551","5510",2508027,2032641,475386,51,51,57,1,0,0,0,3253441,30856,502028,0.180390937153305,0.329026022822092,8438,245851,3786325,3269140,20250,540046,2475378,169044,0,244727,3829436,729967.647590669,1205353.64759067,"FALSE"
"94016360",2019,"55","551","5510",2694215,2210836,483379,45,45,56,0,0,0,0,9908051,22676,2129840,0.538351431668342,0.0175260208174741,170614,311347,12060567,10002533,18632,2071210,9867626,1630467,144092,212733,12092375,644089.100815296,1127468.1008153,"FALSE"
"94017020",2019,"55","551","5510",15447211,11320977,4126234,35,35,59,0,0,0,0,131865623,219335,7546196,0.430805459818656,0.00181436849980319,2625723,17379546,139631154,131790708,232364,6769881,67390024,15323653,9682613,15294828,138792953,500958.189523008,4627192.18952301,"FALSE"
"94017031",2019,"55","551","5510",1511893,1333938,177955,NA,10.5,47,0,0,0,0,3886257,15762,482086,0.480316533270938,0.00546339316602929,71219,0,4384105,4364408,14993,559558,4021345,153377,81312,0,4938959,150287.456856902,328242.456856902,"FALSE"
"94017239",2019,"55","551","5510",1502181,1338071,164110,30,30,89,0,0,0,0,3836675,32158,323842,0.54800559772539,0.153759735236879,20943,672552,4192675,4041825,34289,357012,1447751,1776000,0,673748,4433126,429392.733876864,593502.733876864,"FALSE"
"94017657",2019,"55","551","5510",1585151,1422292,162859,30,30,59,1,0,0,0,3919692,8978,250869,0.410176792434164,0.26419854632531,470164,0,4179539,3995409,3883,241283,3180801,0,548764,0,4240575,429392.733876864,592251.733876864,"FALSE"
"94018224",2019,"55","551","5510",39197,10703,28494,NA,NA,31,0,0,0,0,300120,0,482402,768043,0,0,0,782522,305122,0,449702,746646,0,0,0,754824,NA,NA,NA
"94019153",2019,"55","551","5510",4317331,4304060,13271,35,35,119,0,0,0,0,10442736,176768,2624129,0.181346675388623,8.3558468207245e-009,343819,1216118,13243633,10867265,181889,2513383,7445982,22274,483282,1091009,13562537,500958.189523008,514229.189523008,"FALSE"
"94020416",2019,"55","551","5510",805937,762576,43361,5,5,54,0,0,0,0,1413297,0,539019,0.17698261849308,5.31654236323679e-009,0,0,1952316,880418,0,780357,1005877,0,0,0,1660775,37182.3024054983,80543.3024054983,"FALSE"
"94020582",2019,"55","551","5510",490628,454172,36456,NA,30,53,1,0,0,0,1076268,1871,456800,0.508481046026374,0.19426147638427,0,0,1534939,1238840,2124,417698,327961,1202391,0,0,1658662,429392.733876864,465848.733876864,"FALSE"
"94020705",2019,"55","551","5510",2354945,1078574,1276371,60,60,54,1,0,0,0,3218103,12962,1342541,0.024439192387149,0.217469978933541,73923,0,4573606,3323682,9461,1142818,4115320,0,132705,0,4475961,858785.467753728,2135156.46775373,"FALSE"
"94021032",2019,"55","551","5510",7265005,4894820,2370185,103,103,52,1,0,0,0,37782461,53492,1696012,0.463138183241395,0.230403255625225,4051979,1238079,39531965,38249112,47997,1830407,14103849,18560748,4414322,1240397,40127516,1474248.38631057,3844433.38631057,"FALSE"
"94021228",2019,"55","551","5510",0,14108,-14108,NA,NA,52,1,0,0,0,1652752,0,8464,1660476,0,0,0,1661216,1652752,0,9564,1661584,0,0,0,1662316,NA,NA,NA
"94021820",2019,"55","551","5510",0,89241,-89241,NA,NA,42,0,0,0,0,2444294,0,1564,1534293,0,805538,0,2445858,2444294,0,1564,1702548,0,726523,0,2445858,NA,NA,NA
"94022030",2019,"55","551","5510",15726230,13009070,2717160,9,9,67,1,0,0,0,33149544,284075,414330,0.546346648712999,0.0206421062979228,9330042,0,33847949,45877433,472524,3566792,31753056,0,3013744,0,49916749,66928.1443298969,2784088.1443299,"FALSE"
"94022077",2019,"55","551","5510",2277322,1731356,545966,6,6,52,0,0,0,0,6052778,43295,300784,0.427355194982125,0.25407070982415,2003,286425,6396857,5918237,41067,396839,3646595,1205659,0,438990,6356143,44618.7628865979,590584.762886598,"FALSE"
"94022133",2019,"55","551","5510",3302929,2576869,726060,40,40,52,1,0,0,0,1408911,8833,834790,0.038470804014267,0.24626701054369,90861,0,2252534,1426162,3266,785160,1532393,0,99947,0,2214588,572523.645169152,1298583.64516915,"FALSE"
"94022286",2019,"55","551","5510",52000,8300,43700,NA,NA,51,0,0,0,0,1008847,0,178583,1187430,0,0,0,1187430,1008847,0,134943,1143790,0,0,0,1143790,NA,NA,NA
"94022502",2019,"55","551","5510",339538,287266,52272,NA,NA,53,1,0,0,0,997457,0,339238,1276978,0,0,0,1336695,1025283,921,421390,1389608,0,0,0,1447594,NA,NA,NA
"94023013",2019,"55","551","5510",600354,383410,216944,NA,NA,51,1,0,0,0,1730843,0,806191,2490161,0,0,0,2537034,1687699,0,775002,2341272,0,0,0,2462701,NA,NA,NA
"94023025",2019,"55","551","5510",0,3011,-3011,NA,NA,51,0,0,0,0,601875,0,2350,527775,0,0,0,604225,601875,0,2158,530786,0,0,0,604033,NA,NA,NA
"94023142",2019,"55","551","5510",3131246,2951709,179537,89,89,52,1,0,0,0,11452871,45425,1115391,0.585290881794007,0.0855292132298049,2175776,122960,12613687,11679334,48908,844132,9743145,16510,2274002,23719,12572374,1273865.11050136,1453402.11050136,"FALSE"
"94023338",2019,"55","551","5510",1820716,642137,1178579,NA,18,51,1,0,0,0,9976159,26642,2856214,0.538444553849923,0.0175590755383527,4730620,6044136,12859015,10020595,30531,3433779,-2696273,0,4105935,6669497,13484905,257635.640326119,1436214.64032612,"FALSE"
"94023547",2019,"55","551","5510",4437966,3243067,1194899,6,6,51,0,0,0,0,12663365,54194,1789753,0.500073445895861,0.201602970237512,785479,359149,14507312,12740884,33759,1453632,9327172,3406163,46656,830549,14228275,44618.7628865979,1239517.7628866,"FALSE"
"94023603",2019,"55","551","5510",808471,646197,162274,2,2,32,0,0,0,0,3150508,0,840463,0.274258869886211,7.30341501506627e-006,189880,0,3990971,2939112,0,1158703,3771525,0,207000,0,4097815,14872.9209621993,177146.920962199,"FALSE"
"94024279",2019,"55","551","5510",3084959,2661198,423761,55,55,57,1,0,0,0,2217845,11425,903437,0.367171292831795,0.286390034406117,28384,21442,3132707,2165772,8681,1180931,2937812,0,0,31093,3355384,787220.012107584,1210981.01210758,"FALSE"
"94024810",2019,"55","551","5510",1800693,1280746,519947,25,25,50,1,0,0,0,1829389,1564,600091,0.0703084839289929,0.285882524761315,7214,120801,2431044,1753885,1687,529202,1739206,0,7214,120801,2284774,357827.27823072,877774.27823072,"FALSE"
"94024894",2019,"55","551","5510",2348652,1968678,379974,10,10,50,1,0,0,0,1798261,21679,512542,0.2645198871613,0.321684818562359,0,474280,2332482,1887456,21450,449191,1130981,299728,0,386359,2358097,143130.911292288,523104.911292288,"FALSE"
"94024974",2019,"55","551","5510",4146,118899,-114753,NA,NA,50,1,0,0,0,1237,0,1006072,427451,0,0,0,1007309,1237,0,1185628,542217,0,0,0,1186865,NA,NA,NA
"94025020",2019,"55","551","5510",259024,2640776,-2381752,NA,NA,50,1,0,0,0,1265,0,59980,-811982,120000,0,0,61245,1265,0,2377181,1569837,120000,0,0,2378446,NA,NA,NA
"94025227",2019,"55","551","5510",26326444,20177088,6149356,410,410,50,1,0,0,0,97817182,552158,7749705,0.470534131583545,0.22503074636737,813196,2054001,106119045,101143247,764832,6628783,75858539,25423000,829741,1307001,108536862,5868367.36298381,12017723.3629838,"FALSE"
"94025461",2019,"55","551","5510",254357,35457,218900,NA,NA,50,1,0,0,0,1481967,0,559267,1859094,0,80400,0,2041234,1549658,0,420890,1742087,0,80400,0,1970548,NA,NA,NA
"94025983",2019,"55","551","5510",477814,442008,35806,5,5,50,1,0,0,0,2305367,9921,175773,0.190006717698919,1.95355566784841e-008,0,56392,2491061,2328777,11172,224717,1755873,557121,2208,59718,2564666,37182.3024054983,72988.3024054983,"FALSE"
"94026052",2019,"55","551","5510",309421,148841,160580,NA,NA,30,0,0,0,0,488890,55011,11051,93314,0,458305,0,554952,485961,70604,53570,68746,0,482329,0,610135,NA,NA,NA
"94026224",2019,"55","551","5510",2243237,1474907,768330,NA,NA,50,1,0,0,0,2096436,12032,1535899,2856185,0,28606,200792,3644367,1930599,16007,1127609,2367192,0,31266,201161,3074215,NA,NA,NA
"94026469",2019,"55","551","5510",20844,110784,-89940,NA,NA,49,1,0,0,0,1542694,0,64650,1418775,0,0,0,1607344,1542694,0,46425,1508733,0,0,0,1589119,NA,NA,NA
"94026734",2019,"55","551","5510",4625274,2934195,1691079,0,0,49,0,0,0,0,40064514,10115,3077965,22849393,16621874,681007,335000,43152594,40720541,11668,2130081,22736870,16956874,682645,25017,42862290,0,1691079,"FALSE"
"94026814",2019,"55","551","5510",730417,605147,125270,1,1,50,0,0,0,0,1369801,0,1681202,0.254555474890207,2.44342484156123e-006,824789,43800,3051003,1452887,0,1508681,820917,916911,824789,24000,2961568,7436.46048109966,132706.4604811,"FALSE"
"94026955",2019,"55","551","5510",595685,541114,54571,NA,NA,50,1,0,0,0,629197,0,150153,662302,0,0,0,779350,627457,0,164697,656310,0,0,0,792154,NA,NA,NA
"94027097",2019,"55","551","5510",2049875,1585682,464193,37,37,51,0,0,0,0,6467482,60820,1022619,0.543425696478728,0.159137176221032,204148,739278,7550921,6486517,70371,780271,1164562,4147349,90000,734525,7337159,529584.371781466,993777.371781466,"FALSE"
"94027165",2019,"55","551","5510",109053973,72147789,36906184,1730,1730,51,1,0,0,0,447163859,2500308,26792176,0.101096985510926,0.30769926479128,123402695,10975494,476456343,444576367,2306174,19416080,103261695,197787883,149439382,2585956,466298621,24761647.6535658,61667831.6535658,"FALSE"
"94027350",2019,"55","551","5510",2609371,2052087,557284,17,17,49,0,0,0,0,2646158,25463,1510095,0.524476884195117,0.17924977803269,1211600,734263,4181716,2661347,22107,1684712,1211728,693686,1211600,754720,4368166,243322.54919689,800606.54919689,"FALSE"
"94027491",2019,"55","551","5510",264248,188658,75590,NA,NA,31,0,0,0,0,515537,7069,169500,664560,0,10163,0,692106,568720,9609,121948,669932,0,10163,0,700277,NA,NA,NA
"94027915",2019,"55","551","5510",2489053,2547055,-58002,52,52,50,1,0,0,0,20254086,0,11478653,0.103400787654923,5.42225418399699e-014,6084984,0,31732739,21544015,1008380,9938438,24155956,0,6084984,0,32490833,744280.738719898,686278.738719898,"FALSE"
"94028010",2019,"55","551","5510",6739174,5074127,1665047,2,2,53,0,0,0,0,20614166,19364,10877592,0.306162690336594,3.32722554268661e-005,480566,944000,31511122,21524242,19853,10949367,5521133,0,227743,0,32493462,14872.9209621993,1679919.9209622,"FALSE"
"94028217",2019,"55","551","5510",123960,134831,-10871,NA,NA,50,0,0,0,0,600508,0,90297,344528,0,0,0,690805,611582,0,87591,378287,0,0,0,699173,NA,NA,NA
"94028346",2019,"55","551","5510",5745367,5043555,701812,7,7,50,1,0,0,0,30276734,51515,7923918,0.12254539642026,2.80784876505352e-012,18621179,5914528,38252167,31141974,55193,8764966,12879090,18435628,35771,7164528,39962133,52055.2233676976,753867.223367698,"FALSE"
